ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,661.65,128,43.36,24.336,127,43.43,52184460
4096,2048,607.97,128,39.30,24.603,127,39.34,80373132
6144,2048,600.13,128,39.01,25.624,127,39.06,108561804
8192,2048,593.13,128,38.70,25.384,127,38.74,0
