ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,639.93,128,43.01,24.903,127,43.09,52184460
4096,2048,584.99,128,39.51,24.553,127,39.54,80373132
6144,2048,577.14,128,38.89,26.366,127,38.94,108561804
8192,2048,571.91,128,38.61,25.811,127,38.65,0
