ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,639.66,128,43.22,24.427,127,43.30,52184460
4096,2048,584.77,128,39.25,24.713,127,39.28,80373132
6144,2048,577.77,128,38.93,26.685,127,38.98,108561804
8192,2048,570.98,128,38.64,25.392,127,38.68,0
