ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,662.10,128,43.21,24.645,127,43.29,52184460
4096,2048,608.13,128,39.38,24.453,127,39.41,80373132
6144,2048,600.01,128,39.07,25.997,127,39.12,108561804
8192,2048,593.19,128,38.68,25.883,127,38.72,0
