ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,642.30,128,43.52,24.414,127,43.60,52184460
4096,2048,587.01,128,39.64,24.279,127,39.68,80373132
6144,2048,579.47,128,39.36,26.159,127,39.42,108561804
8192,2048,573.01,128,39.05,26.171,127,39.10,0
