ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,662.35,128,43.67,24.196,127,43.75,52184460
4096,2048,609.30,128,39.77,24.256,127,39.81,80373132
6144,2048,601.19,128,39.50,26.041,127,39.55,108561804
8192,2048,594.28,128,39.19,25.342,127,39.23,0
