ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,663.98,128,43.67,24.514,127,43.75,52184460
4096,2048,609.42,128,39.75,24.263,127,39.78,80373132
6144,2048,601.27,128,39.46,25.951,127,39.51,108561804
8192,2048,594.39,128,39.14,25.348,127,39.19,0
