ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,641.97,128,42.77,70.602,127,43.52,52184460
4096,2048,586.96,128,39.60,24.401,127,39.64,80373132
6144,2048,579.66,128,39.37,26.217,127,39.43,108561804
8192,2048,572.78,128,39.06,25.488,127,39.10,0
